Date, 28-Oct-2021
CDS_JAGUAR_EUR_SPREAD_6M, 152
CDS_JAGUAR_EUR_SPREAD_1Y, 200
CDS_JAGUAR_EUR_SPREAD_2Y, 262
CDS_JAGUAR_EUR_SPREAD_3Y, 322
CDS_JAGUAR_EUR_SPREAD_4Y, 363
CDS_JAGUAR_EUR_SPREAD_5Y, 395
CDS_JAGUAR_EUR_RECOVERY, 0.4
IR_USD_ZERORATE_6M, 0.0006
IR_USD_ZERORATE_1Y, 0.0012
IR_USD_ZERORATE_2Y, 0.0051
IR_USD_ZERORATE_3Y, 0.0079
IR_USD_ZERORATE_5Y, 0.0121
IR_EUR_ZERORATE_6M, -0.0065
IR_EUR_ZERORATE_1Y, -0.0065
IR_EUR_ZERORATE_3Y, -0.0056
IR_EUR_ZERORATE_4Y, -0.0047
IR_EUR_ZERORATE_5Y, -0.0039
